"","fertilizer","group","carbon","n.input","emission","reps","group.index","fert.index"
"1","A",14,2.7,180,0.62,13,10,"2"
"2","A",14,4.6,180,0.45,13,10,"2"
"3","A",11,0.9,112,0.23,12,7,"2"
"4","A",38,0.5,100,0.153,14,29,"2"
"5","A",1,4,250,1,6,1,"2"
"6","A",38,0.5,100,0.216,14,29,"2"
"7","A",11,0.9,112,0.24,12,7,"2"
"8","A",11,0.9,112,0.89,12,7,"2"
"9","A",11,0.9,117,0.56,12,7,"2"
"10","A",11,0.9,82,0.1,12,7,"2"
"11","A",13,3.8,112,2.1,14,9,"2"
"12","A",13,3.8,112,2.39,14,9,"2"
"13","A",13,3.8,150,2.58,14,9,"2"
"14","A",13,3.8,225,2.82,14,9,"2"
"15","A",1,4,250,0.375,6,1,"2"
"16","A",13,3.8,225,3.25,14,9,"2"
"17","A",1,4,250,7,6,1,"2"
"18","A",11,0.9,52,0.35,12,7,"2"
